DV IV label Estimate SE P-value lowerCI upperCI AIC replica h2 Tagged prs_noise
offspring_phenotype maternal_prs c 0.0668390732 0.0485404382 0.16851932 -0.0282984375 0.1619765839 21091.6448168162 1 0.3 0.2 0
offspring_phenotype paternal_prs b 0.0887739408 0.0491665193 0.07098442 -0.0075906662 0.1851385478 21091.6448168162 1 0.3 0.2 0
offspring_prs maternal_prs i 0.4959804742 0.0069382122 0 0.4823818282 0.5095791202 21091.6448168162 1 0.3 0.2 0
offspring_prs paternal_prs h 0.500969798 0.0070377453 0 0.4871760707 0.5147635253 21091.6448168162 1 0.3 0.2 0
offspring_phenotype offspring_prs a 0.889534203 0.0569143352 0 0.7779841557 1.0010842502 21091.6448168162 1 0.3 0.2 0
ab a*b ia 0.4411915959 0.0288952131 0 0.3845580188 0.4978251729 21091.6448168162 1 0.3 0.2 0
db d*b ha 0.44562977 0.0291915466 0 0.3884153901 0.5028441499 21091.6448168162 1 0.3 0.2 0
total_mum c+(a*b) total_mum 0.5080306691 0.0399677679 0 0.4296952835 0.5863660546 21091.6448168162 1 0.3 0.2 0
total_dad f+(d*b) total_dad 0.5344037108 0.0405411312 0 0.4549445538 0.6138628678 21091.6448168162 1 0.3 0.2 0
offspring_phenotype maternal_prs c 0.0210657126 0.0481812843 0.6619534 -0.0733678695 0.1154992946 20976.2457117264 2 0.3 0.2 0
offspring_phenotype paternal_prs b 0.0383625314 0.0480600532 0.4247424 -0.055833442 0.1325585047 20976.2457117264 2 0.3 0.2 0
offspring_prs maternal_prs i 0.4952972123 0.0070025032 0 0.4815725582 0.5090218664 20976.2457117264 2 0.3 0.2 0
offspring_prs paternal_prs h 0.4904357801 0.0070103148 0 0.4766958155 0.5041757446 20976.2457117264 2 0.3 0.2 0
offspring_phenotype offspring_prs a 0.9953092225 0.0561742 0 0.8852098136 1.1054086315 20976.2457117264 2 0.3 0.2 0
ab a*b ia 0.4929738833 0.0286825948 0 0.4367570305 0.549190736 20976.2457117264 2 0.3 0.2 0
db d*b ha 0.488135255 0.028419678 0 0.4324337097 0.5438368003 20976.2457117264 2 0.3 0.2 0
total_mum c+(a*b) total_mum 0.5140395958 0.0399486812 0 0.4357416195 0.5923375722 20976.2457117264 2 0.3 0.2 0
total_dad f+(d*b) total_dad 0.5264977863 0.0399932457 0 0.448112465 0.6048831076 20976.2457117264 2 0.3 0.2 0
offspring_phenotype maternal_prs c -0.0266184723 0.0484497915 0.5827288 -0.1215783187 0.0683413741 21412.8916000069 3 0.3 0.2 0
offspring_phenotype paternal_prs b -0.0630751392 0.0488342982 0.1964903 -0.1587886049 0.0326383265 21412.8916000069 3 0.3 0.2 0
offspring_prs maternal_prs i 0.4893944383 0.0071019593 0 0.4754748538 0.5033140229 21412.8916000069 3 0.3 0.2 0
offspring_prs paternal_prs h 0.5017706926 0.0070990523 0 0.4878568058 0.5156845794 21412.8916000069 3 0.3 0.2 0
offspring_phenotype offspring_prs a 1.0447267977 0.0561744668 0 0.9346268659 1.1548267294 21412.8916000069 3 0.3 0.2 0
ab a*b ia 0.5112834844 0.0284751046 0 0.4554733048 0.5670936639 21412.8916000069 3 0.3 0.2 0
db d*b ha 0.5242132888 0.0291461083 0 0.4670879662 0.5813386115 21412.8916000069 3 0.3 0.2 0
total_mum c+(a*b) total_mum 0.4846650121 0.0405789583 0 0.4051317153 0.5641983088 21412.8916000069 3 0.3 0.2 0
total_dad f+(d*b) total_dad 0.4611381496 0.040562348 0 0.3816374084 0.5406388909 21412.8916000069 3 0.3 0.2 0
offspring_phenotype maternal_prs c -0.073299227 0.0485674606 0.1312413 -0.168489701 0.021891246 21178.7979894884 4 0.3 0.2 0
offspring_phenotype paternal_prs b 0.012453956 0.04865101 0.797962 -0.082900272 0.107808183 21178.7979894884 4 0.3 0.2 0
offspring_prs maternal_prs i 0.490452441 0.0070967327 0 0.476543101 0.504361781 21178.7979894884 4 0.3 0.2 0
offspring_prs paternal_prs h 0.493137333 0.0070961814 0 0.479229073 0.507045593 21178.7979894884 4 0.3 0.2 0
offspring_phenotype offspring_prs a 0.965388951 0.056299751 0 0.855043466 1.075734435 21178.7979894884 4 0.3 0.2 0
ab a*b ia 0.473477367 0.0284495968 0 0.417717182 0.529237553 21178.7979894884 4 0.3 0.2 0
db d*b ha 0.476069332 0.0285962028 0 0.420021805 0.53211686 21178.7979894884 4 0.3 0.2 0
total_mum c+(a*b) total_mum 0.40017814 0.040537563 0 0.320725977 0.479630304 21178.7979894884 4 0.3 0.2 0
total_dad f+(d*b) total_dad 0.488523288 0.040534414 0 0.409077296 0.567969279 21178.7979894884 4 0.3 0.2 0
offspring_phenotype maternal_prs c 0.019224279 0.048577267 0.6922921 -0.0759854148 0.1144339728 21354.3018046072 5 0.3 0.2 0
offspring_phenotype paternal_prs b -0.0098654906 0.0485737559 0.8390543 -0.1050683028 0.0853373216 21354.3018046072 5 0.3 0.2 0
offspring_prs maternal_prs i 0.4941311917 0.0071351403 0 0.4801465737 0.5081158097 21354.3018046072 5 0.3 0.2 0
offspring_prs paternal_prs h 0.5033279701 0.0070697947 0 0.4894714271 0.5171845131 21354.3018046072 5 0.3 0.2 0
offspring_phenotype offspring_prs a 0.9444924585 0.0559703916 0 0.8347925066 1.0541924103 21354.3018046072 5 0.3 0.2 0
ab a*b ia 0.466703184 0.0284659312 0 0.410910984 0.522495384 21354.3018046072 5 0.3 0.2 0
db d*b ha 0.4753894719 0.0289520052 0 0.4186445845 0.5321343593 21354.3018046072 5 0.3 0.2 0
total_mum c+(a*b) total_mum 0.485927463 0.040500274 0 0.4065483846 0.5653065415 21354.3018046072 5 0.3 0.2 0
total_dad f+(d*b) total_dad 0.4655239814 0.0401293614 0 0.3868718784 0.5441760843 21354.3018046072 5 0.3 0.2 0
offspring_phenotype maternal_prs c 0.005019567 0.0479235593 0.9165812 -0.088908883 0.098948018 20778.9645922327 6 0.3 0.2 0
offspring_phenotype paternal_prs b 0.009690058 0.0482814704 0.8409337 -0.084939885 0.104320002 20778.9645922327 6 0.3 0.2 0
offspring_prs maternal_prs i 0.509477129 0.007037158 0 0.495684553 0.523269706 20778.9645922327 6 0.3 0.2 0
offspring_prs paternal_prs h 0.514344767 0.0070820085 0 0.500464285 0.528225248 20778.9645922327 6 0.3 0.2 0
offspring_phenotype offspring_prs a 0.956294878 0.0551617513 0 0.848179832 1.064409924 20778.9645922327 6 0.3 0.2 0
ab a*b ia 0.487210369 0.0288981431 0 0.43057105 0.543849689 20778.9645922327 6 0.3 0.2 0
db d*b ha 0.491865266 0.0291692639 0 0.434694559 0.549035973 20778.9645922327 6 0.3 0.2 0
total_mum c+(a*b) total_mum 0.492229937 0.039397206 0 0.415012832 0.569447042 20778.9645922327 6 0.3 0.2 0
total_dad f+(d*b) total_dad 0.501555324 0.0396482992 0 0.423846086 0.579264563 20778.9645922327 6 0.3 0.2 0
offspring_phenotype maternal_prs c 0.0185317477 0.0487365679 0.7037649 -0.0769901701 0.1140536655 21399.7049661618 7 0.3 0.2 0
offspring_phenotype paternal_prs b -0.0075860083 0.048979705 0.8769154 -0.103584466 0.0884124494 21399.7049661618 7 0.3 0.2 0
offspring_prs maternal_prs i 0.4987157091 0.0071153905 0 0.4847698 0.5126616182 21399.7049661618 7 0.3 0.2 0
offspring_prs paternal_prs h 0.4972856456 0.0071781899 0 0.483216652 0.5113546392 21399.7049661618 7 0.3 0.2 0
offspring_phenotype offspring_prs a 0.9530376071 0.0560892945 0 0.8431046099 1.0629706043 21399.7049661618 7 0.3 0.2 0
ab a*b ia 0.475294826 0.0287828453 0 0.4188814859 0.5317081662 21399.7049661618 7 0.3 0.2 0
db d*b ha 0.4739319217 0.028719096 0 0.4176435278 0.5302203157 21399.7049661618 7 0.3 0.2 0
total_mum c+(a*b) total_mum 0.4938265737 0.0404817386 0 0.4144838241 0.5731693233 21399.7049661618 7 0.3 0.2 0
total_dad f+(d*b) total_dad 0.4663459134 0.0408390243 0 0.3863028967 0.5463889302 21399.7049661618 7 0.3 0.2 0
offspring_phenotype maternal_prs c -0.0988029884 0.0486706331 0.04235319 -0.1941956764 -0.0034103004 21392.8862919776 8 0.3 0.2 0
offspring_phenotype paternal_prs b -0.0273383889 0.0487729504 0.57512236 -0.1229316151 0.0682548373 21392.8862919776 8 0.3 0.2 0
offspring_prs maternal_prs i 0.4971983451 0.007106991 0 0.4832688986 0.5111277915 21392.8862919776 8 0.3 0.2 0
offspring_prs paternal_prs h 0.4980790315 0.0071230825 0 0.4841180464 0.5120400166 21392.8862919776 8 0.3 0.2 0
offspring_phenotype offspring_prs a 0.9943835092 0.0561140526 0 0.884401987 1.1043650313 21392.8862919776 8 0.3 0.2 0
ab a*b ia 0.4944058351 0.0287809515 0 0.4379962067 0.5508154636 21392.8862919776 8 0.3 0.2 0
db d*b ha 0.4952815751 0.0288327867 0 0.4387703517 0.5517927985 21392.8862919776 8 0.3 0.2 0
total_mum c+(a*b) total_mum 0.3956028467 0.0405015363 0 0.3162212942 0.4749843993 21392.8862919776 8 0.3 0.2 0
total_dad f+(d*b) total_dad 0.4679431863 0.0405932387 0 0.3883819004 0.5475044721 21392.8862919776 8 0.3 0.2 0
offspring_phenotype maternal_prs c 0.02009388 0.0489271311 0.6812999 -0.07580153 0.1159893 21123.2200430205 9 0.3 0.2 0
offspring_phenotype paternal_prs b 0.03942543 0.0486143152 0.4173748 -0.05585687 0.1347077 21123.2200430205 9 0.3 0.2 0
offspring_prs maternal_prs i 0.4990777 0.0070426697 0 0.4852743 0.5128811 21123.2200430205 9 0.3 0.2 0
offspring_prs paternal_prs h 0.4918379 0.0070261599 0 0.4780669 0.5056089 21123.2200430205 9 0.3 0.2 0
offspring_phenotype offspring_prs a 0.9222693 0.0566827691 0 0.8111731 1.033366 21123.2200430205 9 0.3 0.2 0
ab a*b ia 0.4602841 0.0290251906 0 0.4033957 0.5171724 21123.2200430205 9 0.3 0.2 0
db d*b ha 0.453607 0.0286219215 0 0.3975091 0.5097049 21123.2200430205 9 0.3 0.2 0
total_mum c+(a*b) total_mum 0.4803779 0.0404447612 0 0.4011077 0.5596482 21123.2200430205 9 0.3 0.2 0
total_dad f+(d*b) total_dad 0.4930324 0.0403499486 0 0.413948 0.5721169 21123.2200430205 9 0.3 0.2 0
offspring_phenotype maternal_prs c -0.041119075 0.0485726547 0.3972472 -0.136319729 0.054081579 21025.3632525441 10 0.3 0.2 0
offspring_phenotype paternal_prs b 0.002052901 0.0483345209 0.9661218 -0.092681019 0.096786822 21025.3632525441 10 0.3 0.2 0
offspring_prs maternal_prs i 0.495258578 0.0070458306 0 0.481449004 0.509068153 21025.3632525441 10 0.3 0.2 0
offspring_prs paternal_prs h 0.496632204 0.0069844104 0 0.482943011 0.510321397 21025.3632525441 10 0.3 0.2 0
offspring_phenotype offspring_prs a 0.988267741 0.0563991204 0 0.877727497 1.098807986 21025.3632525441 10 0.3 0.2 0
ab a*b ia 0.489448077 0.0287869866 0 0.43302662 0.545869534 21025.3632525441 10 0.3 0.2 0
db d*b ha 0.490805587 0.0288475794 0 0.43426537 0.547345804 21025.3632525441 10 0.3 0.2 0
total_mum c+(a*b) total_mum 0.448329001 0.0403433214 0 0.369257544 0.527400458 21025.3632525441 10 0.3 0.2 0
total_dad f+(d*b) total_dad 0.492858488 0.0399916389 0 0.414476316 0.57124066 21025.3632525441 10 0.3 0.2 0
offspring_phenotype maternal_prs c -0.0152297015 0.047828625 0.7501646 -0.1089720839 0.0785126809 20995.5967995657 11 0.3 0.2 0
offspring_phenotype paternal_prs b 0.0453669147 0.0479626344 0.3442096 -0.0486381213 0.1393719508 20995.5967995657 11 0.3 0.2 0
offspring_prs maternal_prs i 0.4875544094 0.0069882796 0 0.473857633 0.5012511858 20995.5967995657 11 0.3 0.2 0
offspring_prs paternal_prs h 0.4912454278 0.0069915818 0 0.4775421794 0.5049486763 20995.5967995657 11 0.3 0.2 0
offspring_phenotype offspring_prs a 0.9598127065 0.0561304729 0 0.8497990012 1.0698264119 20995.5967995657 11 0.3 0.2 0
ab a*b ia 0.4679609173 0.0281766535 0 0.4127356912 0.5231861433 20995.5967995657 11 0.3 0.2 0
db d*b ha 0.4715036037 0.0283786685 0 0.4158824355 0.5271247718 20995.5967995657 11 0.3 0.2 0
total_mum c+(a*b) total_mum 0.4527312158 0.0397948873 0 0.3747346698 0.5307277617 20995.5967995657 11 0.3 0.2 0
total_dad f+(d*b) total_dad 0.5168705184 0.0398136914 0 0.4388371172 0.5949039196 20995.5967995657 11 0.3 0.2 0
offspring_phenotype maternal_prs c -0.0452534354 0.0480845806 0.3466426 -0.1394974816 0.0489906108 20962.788247417 12 0.3 0.2 0
offspring_phenotype paternal_prs b 0.0018569262 0.0485227655 0.9694731 -0.0932459466 0.096959799 20962.788247417 12 0.3 0.2 0
offspring_prs maternal_prs i 0.4985759417 0.0070499926 0 0.4847582101 0.5123936734 20962.788247417 12 0.3 0.2 0
offspring_prs paternal_prs h 0.5054080285 0.007097997 0 0.4914962101 0.5193198469 20962.788247417 12 0.3 0.2 0
offspring_phenotype offspring_prs a 1.0307402051 0.0556868074 0 0.9215960682 1.139884342 20962.788247417 12 0.3 0.2 0
ab a*b ia 0.5139022684 0.0286993113 0 0.4576526518 0.570151885 20962.788247417 12 0.3 0.2 0
db d*b ha 0.5209443749 0.0290799395 0 0.4639487409 0.577940009 20962.788247417 12 0.3 0.2 0
total_mum c+(a*b) total_mum 0.468648833 0.039926014 0 0.3903952836 0.5469023825 20962.788247417 12 0.3 0.2 0
total_dad f+(d*b) total_dad 0.5228013011 0.0401978754 0 0.444014913 0.6015876892 20962.788247417 12 0.3 0.2 0
offspring_phenotype maternal_prs c -0.0293023274 0.0481182766 0.5425479 -0.1236124166 0.0650077618 21103.3307567237 13 0.3 0.2 0
offspring_phenotype paternal_prs b 0.0210227676 0.0485938424 0.6652894 -0.0742194133 0.1162649486 21103.3307567237 13 0.3 0.2 0
offspring_prs maternal_prs i 0.5005160267 0.0070210175 0 0.4867550852 0.5142769681 21103.3307567237 13 0.3 0.2 0
offspring_prs paternal_prs h 0.5086391406 0.0070676566 0 0.4947867882 0.5224914929 21103.3307567237 13 0.3 0.2 0
offspring_phenotype offspring_prs a 1.0087832362 0.0558059284 0 0.8994056264 1.118160846 21103.3307567237 13 0.3 0.2 0
ab a*b ia 0.5049121772 0.0288157548 0 0.4484343355 0.5613900188 21103.3307567237 13 0.3 0.2 0
db d*b ha 0.5131066383 0.0292668043 0 0.4557447559 0.5704685207 21103.3307567237 13 0.3 0.2 0
total_mum c+(a*b) total_mum 0.4756098498 0.0398164497 0 0.3975710424 0.5536486572 21103.3307567237 13 0.3 0.2 0
total_dad f+(d*b) total_dad 0.5341294059 0.0400809416 0 0.4555722039 0.6126866079 21103.3307567237 13 0.3 0.2 0
offspring_phenotype maternal_prs c 0.1039601397 0.0481690733 0.03090963 0.0095504908 0.1983697886 21155.960162595 14 0.3 0.2 0
offspring_phenotype paternal_prs b -0.0724229909 0.0478571315 0.13019926 -0.1662212451 0.0213752633 21155.960162595 14 0.3 0.2 0
offspring_prs maternal_prs i 0.5067190235 0.0071518711 0 0.4927016138 0.5207364332 21155.960162595 14 0.3 0.2 0
offspring_prs paternal_prs h 0.5019203784 0.0071162806 0 0.4879727247 0.5158680321 21155.960162595 14 0.3 0.2 0
offspring_phenotype offspring_prs a 0.9090074244 0.0549559974 0 0.8012956489 1.0167192 21155.960162595 14 0.3 0.2 0
ab a*b ia 0.4606113545 0.0285960425 0 0.4045641411 0.5166585679 21155.960162595 14 0.3 0.2 0
db d*b ha 0.4562493504 0.0283318929 0 0.4007198608 0.5117788401 21155.960162595 14 0.3 0.2 0
total_mum c+(a*b) total_mum 0.5645714942 0.0398378549 0 0.4864907334 0.642652255 21155.960162595 14 0.3 0.2 0
total_dad f+(d*b) total_dad 0.3838263595 0.0396396063 0 0.3061341589 0.4615185602 21155.960162595 14 0.3 0.2 0
offspring_phenotype maternal_prs c 0.0995490602 0.0488433586 0.04153704 0.0038178365 0.1952802839 21204.5375603459 15 0.3 0.2 0
offspring_phenotype paternal_prs b 0.0872389361 0.0483434623 0.07114273 -0.0075125089 0.1819903811 21204.5375603459 15 0.3 0.2 0
offspring_prs maternal_prs i 0.5078855533 0.0072358784 0 0.4937034923 0.5220676143 21204.5375603459 15 0.3 0.2 0
offspring_prs paternal_prs h 0.5052972796 0.0071434323 0 0.4912964095 0.5192981497 21204.5375603459 15 0.3 0.2 0
offspring_phenotype offspring_prs a 0.9480388917 0.0552501549 0 0.8397505779 1.0563272055 21204.5375603459 15 0.3 0.2 0
ab a*b ia 0.481495257 0.0288870931 0 0.424877595 0.5381129191 21204.5375603459 15 0.3 0.2 0
db d*b ha 0.4790414729 0.0287274142 0 0.4227367758 0.5353461701 21204.5375603459 15 0.3 0.2 0
total_mum c+(a*b) total_mum 0.5810443172 0.0405626161 0 0.5015430505 0.6605455839 21204.5375603459 15 0.3 0.2 0
total_dad f+(d*b) total_dad 0.566280409 0.0400443855 0 0.4877948557 0.6447659624 21204.5375603459 15 0.3 0.2 0
offspring_phenotype maternal_prs c -0.007975723 0.030618896 0.7944907 -0.067987657 0.052036211 31100.5672234298 1 0.3 0.2 0.1
offspring_phenotype paternal_prs b 0.045647477 0.030511234 0.1346308 -0.014153443 0.105448397 31100.5672234298 1 0.3 0.2 0.1
offspring_prs maternal_prs i 0.500000285 0.007095334 0 0.486093686 0.513906884 31100.5672234298 1 0.3 0.2 0.1
offspring_prs paternal_prs h 0.50356254 0.007032592 0 0.489778913 0.517346168 31100.5672234298 1 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.313398973 0.0352749 0 0.24426144 0.382536507 31100.5672234298 1 0.3 0.2 0.1
ab a*b ia 0.156699576 0.017777084 0 0.121857132 0.19154202 31100.5672234298 1 0.3 0.2 0.1
